行号,物料编码,物料名称,规格,单位,仓库,库存数量,占用数量,可用数量,公司,货位
270,011500004,雨衣-M-蜂鸟18款,,件,宅急送-广州仓,212,0,265,拉扎斯网络科技（上海）有限公司,A1-001
271,011500006,雨衣-XL-蜂鸟18款,,件,宅急送-广州仓,244,0,92,拉扎斯网络科技（上海）有限公司,A1-001
272,011500007,雨衣-XXL-蜂鸟18款,,件,宅急送-广州仓,1,0,13,拉扎斯网络科技（上海）有限公司,A1-001
273,200600002,18L蜂鸟外卖箱,1个/箱,箱,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
274,200600003,43L蜂鸟外卖箱,1个/箱,箱,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
275,010200053,T恤-2XL-蜂鸟,2XL,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
276,010200054,T恤-3XL-蜂鸟,3XL,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
277,010200055,T恤-4XL-蜂鸟,4XL,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
278,010200051,T恤-L-蜂鸟,L,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
279,010200050,T恤-M-蜂鸟,M,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
280,010200049,T恤-S-蜂鸟,S,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
281,010200052,T恤-XL-蜂鸟,XL,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
282,200600001,蜂鸟外卖箱,,个,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
283,200200015,腰包-蜂鸟,,个,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
284,011500005,雨衣-L-蜂鸟18款,,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
285,011500004,雨衣-M-蜂鸟18款,,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
286,011500006,雨衣-XL-蜂鸟18款,,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
287,011500007,雨衣-XXL-蜂鸟18款,,件,百世-北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,A1-001
288,010300034,春秋装-M-蜂鸟,M,件,北京仓,311,0,414,拉扎斯网络科技（上海）有限公司,货位A1-001
289,010300035,春秋装-L-蜂鸟,L,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
290,010300036,春秋装-XL-蜂鸟,XL,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
291,010300037,春秋装-2XL-蜂鸟,2XL,件,北京仓,0,0,524,拉扎斯网络科技（上海）有限公司,货位A1-001
292,010300038,春秋装-3XL-蜂鸟,3XL,件,北京仓,0,10,449,拉扎斯网络科技（上海）有限公司,货位A1-001
293,010300039,春秋装-4XL-蜂鸟,4XL,件,北京仓,0,5,431,拉扎斯网络科技（上海）有限公司,货位A1-001
294,020200020,蜂鸟外卖箱箱体-43L,,个,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
295,010300049,棉服(加厚)-蜂鸟2XL,2XL,件,上海仓,1221,0,1266,拉扎斯网络科技（上海）有限公司,货位A1-001
296,010300034,春秋装-M-蜂鸟,M,件,宅急送-广州仓,0,20,112,拉扎斯网络科技（上海）有限公司,A1-001
297,010300035,春秋装-L-蜂鸟,L,件,宅急送-广州仓,252,35,1066,拉扎斯网络科技（上海）有限公司,A1-001
298,010300036,春秋装-XL-蜂鸟,XL,件,宅急送-广州仓,1076,27,1200,拉扎斯网络科技（上海）有限公司,A1-001
299,010300037,春秋装-2XL-蜂鸟,2XL,件,宅急送-广州仓,1461,18,1838,拉扎斯网络科技（上海）有限公司,A1-001
300,010300038,春秋装-3XL-蜂鸟,3XL,件,宅急送-广州仓,456,9,687,拉扎斯网络科技（上海）有限公司,A1-001
301,010300039,春秋装-4XL-蜂鸟,4XL,件,宅急送-广州仓,131,9,254,拉扎斯网络科技（上海）有限公司,A1-001
302,010300048,棉服（加厚）-蜂鸟XL,XL,件,北京仓,1720,0,1730,拉扎斯网络科技（上海）有限公司,货位A1-001
303,010300047,棉服（加厚）-蜂鸟L,L,件,北京仓,2715,0,2719,拉扎斯网络科技（上海）有限公司,货位A1-001
304,010300050,棉服(加厚)-蜂鸟3XL,3XL,件,北京仓,1063,0,1069,拉扎斯网络科技（上海）有限公司,货位A1-001
305,010300044,棉服-蜂鸟3XL,3XL,件,宅急送-广州仓,304,43,338,拉扎斯网络科技（上海）有限公司,A1-001
306,010900002,腰包-蜂鸟配送,,个,宅急送-广州仓,4,0,0,拉扎斯网络科技（上海）有限公司,A1-001
307,010300049,棉服(加厚)-蜂鸟2XL,2XL,件,北京仓,2548,0,2563,拉扎斯网络科技（上海）有限公司,货位A1-001
308,010300060,棉服(加厚)-蜂鸟5XL,,件,北京仓,488,0,488,拉扎斯网络科技（上海）有限公司,货位A1-001
309,010300061,棉服(加厚)-蜂鸟6XL,,件,北京仓,520,0,520,拉扎斯网络科技（上海）有限公司,货位A1-001
310,010300050,棉服(加厚)-蜂鸟3XL,3XL,件,上海仓,411,0,434,拉扎斯网络科技（上海）有限公司,货位A1-001
1,010300030,众包-秋冬装二合一-17款-L,,件,上海仓,0,0,1,拉扎斯网络科技（上海）有限公司,货位A1-001
2,010300031,众包-秋冬装二合一-17款-XL,,件,上海仓,0,0,1,拉扎斯网络科技（上海）有限公司,货位A1-001
3,010300032,众包-秋冬装二合一-17款-XXL,,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
4,010300033,众包-秋冬装二合一-17款-XXXL,,件,上海仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
5,010300030,众包-秋冬装二合一-17款-L,,件,北京仓,0,0,2,拉扎斯网络科技（上海）有限公司,货位A1-001
6,010300032,众包-秋冬装二合一-17款-XXL,,件,北京仓,0,0,1,拉扎斯网络科技（上海）有限公司,货位A1-001
7,010300031,众包-秋冬装二合一-17款-XL,,件,北京仓,0,0,9,拉扎斯网络科技（上海）有限公司,货位A1-001
8,010300033,众包-秋冬装二合一-17款-XXXL,,件,北京仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
1,010300030,众包-秋冬装二合一-17款-L,,件,宅急送-广州仓,0,0,1,拉扎斯网络科技（上海）有限公司,货位A1-001
2,010300031,众包-秋冬装二合一-17款-XL,,件,宅急送-广州仓,0,0,1,拉扎斯网络科技（上海）有限公司,货位A1-001
3,010300032,众包-秋冬装二合一-17款-XXL,,件,宅急送-广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
4,010300033,众包-秋冬装二合一-17款-XXXL,,件,宅急送-广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
1,100700005,43L外卖箱箱皮,,个,宅急送-广州仓,307,202,107,拉扎斯网络科技（上海）有限公司,A1-001
2,100700005,43L外卖箱箱皮,,个,广州仓,0,0,0,拉扎斯网络科技（上海）有限公司,货位A1-001
3,100700005,43L外卖箱箱皮,,个,上海仓,187,12,188,拉扎斯网络科技（上海）有限公司,货位A1-001
4,100700005,43L外卖箱箱皮,,个,北京仓,162,82,83,拉扎斯网络科技（上海）有限公司,货位A1-001
1,010200076,T恤-XL-19款,,件,北京仓,6417,240,6177,拉扎斯网络科技（上海）有限公司,货位A1-001
2,010200078,T恤-XXXL-19款,,件,北京仓,1314,105,1209,拉扎斯网络科技（上海）有限公司,货位A1-001
3,010200079,T恤-XXXXL-19款,,件,北京仓,127,89,38,拉扎斯网络科技（上海）有限公司,货位A1-001
4,010200078,T恤-XXXL-19款,,件,上海仓,1441,94,1347,拉扎斯网络科技（上海）有限公司,货位A1-001
5,010200079,T恤-XXXXL-19款,,件,上海仓,679,69,610,拉扎斯网络科技（上海）有限公司,货位A1-001
6,010200073,T恤-S-19款,,件,宅急送-广州仓,1767,86,1681,拉扎斯网络科技（上海）有限公司,A1-001
7,010200074,T恤-M-19款,,件,宅急送-广州仓,6372,336,6036,拉扎斯网络科技（上海）有限公司,A1-001
8,010200075,T恤-L-19款,,件,宅急送-广州仓,9639,971,8668,拉扎斯网络科技（上海）有限公司,A1-001
9,010200076,T恤-XL-19款,,件,宅急送-广州仓,10752,328,10424,拉扎斯网络科技（上海）有限公司,A1-001
10,010200077,T恤-XXL-19款,,件,宅急送-广州仓,6894,146,6748,拉扎斯网络科技（上海）有限公司,A1-001
11,010200078,T恤-XXXL-19款,,件,宅急送-广州仓,3310,81,3229,拉扎斯网络科技（上海）有限公司,A1-001
12,010200079,T恤-XXXXL-19款,,件,宅急送-广州仓,9,6,3,拉扎斯网络科技（上海）有限公司,A1-001
13,010200073,T恤-S-19款,,件,上海仓,1290,7,1283,拉扎斯网络科技（上海）有限公司,货位A1-001
14,010200077,T恤-XXL-19款,,件,上海仓,3692,301,3391,拉扎斯网络科技（上海）有限公司,货位A1-001
15,010200076,T恤-XL-19款,,件,上海仓,31887,276,31611,拉扎斯网络科技（上海）有限公司,货位A1-001
16,010200077,T恤-XXL-19款,,件,北京仓,3178,228,2950,拉扎斯网络科技（上海）有限公司,货位A1-001
17,010200073,T恤-S-19款,,件,北京仓,164,10,154,拉扎斯网络科技（上海）有限公司,货位A1-001
